# {"t_start": 1672454481.0872173, "env_id": "PctContinuous-v0"} 
r,l,t
6.208377,30,830.677672
6.061837,26,832.69023
6.026736,24,834.527542
6.42768,26,836.525182
5.45033,24,838.332804
6.401049,28,840.494663
6.202133,22,842.18274
6.309381,22,843.900786
5.886307,24,845.668558
6.809457,31,848.008221
5.632614,19,849.415712
5.465858,24,851.224212
3.104869,15,852.349554
5.992808,23,854.117363
5.593307,24,855.880652
3.686011,15,856.995185
6.524602,27,859.070369
6.596863,23,860.803365
5.246454,17,862.094452
5.773913,26,864.024457
6.135472,25,865.941156
4.34751,21,867.573484
5.641544,15,868.750625
6.127133,23,870.443128
5.671645,24,872.237982
6.723531,25,874.114972
6.442811,30,876.427552
6.774829,30,878.679038
5.809479,19,880.170721
5.732731,25,882.045191
6.824052,26,884.02689
5.03833,24,885.818104
6.403167,21,887.415509
6.363749,30,889.684649
6.160055,25,891.576804
5.371672,17,892.841213
6.324031,19,894.257151
6.243001,18,895.661328
5.811375,17,896.926372
5.634013,23,898.678702
5.265963,19,900.155856
5.280639,27,902.165469
5.1425,26,904.134702
4.160911,17,905.413945
5.650168,28,907.582087
6.353682,24,909.382961
5.777633,20,910.932879
3.1698,13,911.922833
6.59293,19,913.330312
6.002203,19,914.8067
6.619245,24,916.625323
5.383319,27,918.721988
6.251187,27,920.74567
5.834927,20,922.27511
5.394854,16,923.465182
6.351918,24,925.283659
6.673614,26,927.287593
4.959969,20,928.766086
6.675291,26,930.740972
7.25296,28,932.880984
5.849484,26,934.884491
5.603715,28,937.053135
5.806515,22,938.672323
5.382566,23,940.379596
6.61976,22,942.022187
5.484904,19,943.423726
6.209664,26,945.378333
7.110976,30,947.626373
5.990081,25,949.567148
5.220314,17,950.821938
6.59966,28,952.99863
6.422782,23,954.751082
6.507834,33,957.258757
5.476733,24,959.05337
6.302437,28,961.221383
6.136425,18,962.545939
6.002854,23,964.351314
6.194693,24,966.164033
5.623115,32,968.594126
5.64363,20,970.11594
6.318493,27,972.167671
5.946622,21,973.774558
5.840028,21,975.396457
6.181188,32,977.778679
6.475399,24,979.657271
6.324853,31,981.976056
